Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
6,16,7,0.999914465,0.999977708,0.013079399,0.006677143
6,16,8,0.999914209,0.999982397,0.013098894,0.005933476
6,16,9,0.999893511,0.999982643,0.014593764,0.005891897
6,16,10,0.999883923,0.999986409,0.015236579,0.005213675
6,16,11,0.999820307,0.999989484,0.018957454,0.004586106
6,16,12,0.999932018,0.999983366,0.011660338,0.005767866
6,16,13,0.999892381,0.999984676,0.014670991,0.005536108
6,16,14,0.999896744,0.999988196,0.014370547,0.004858884
6,16,15,0.999843858,0.999987828,0.017671546,0.004933875
6,17,2,0.999842405,0.999966227,0.01775361,0.008218621
6,17,3,0.998976053,0.999966664,0.045253666,0.00816524
6,17,4,0.999853589,0.999974701,0.017112054,0.007113182
6,17,5,0.999919569,0.999975315,0.012683174,0.00702638
6,17,6,0.999875957,0.99997128,0.015750761,0.007578939
6,17,7,0.999891834,0.999986501,0.014708231,0.005195955
6,17,8,0.999901457,0.999988815,0.014038737,0.004729772
6,17,9,0.999894901,0.999983639,0.014498224,0.005720282
6,17,10,0.999891732,0.99997826,0.01471519,0.006593943
6,17,11,0.999874567,0.999980845,0.01583873,0.006189494
6,17,12,0.999882635,0.999979247,0.015320872,0.006442513
6,17,13,0.999872125,0.999974334,0.015992192,0.007164609
6,17,14,0.999878063,0.999981827,0.015616449,0.006028748
6,17,15,0.999885016,0.999985858,0.015164711,0.005318265
6,17,16,0.999879621,0.999984512,0.015516353,0.005565643
6,18,2,0.999815417,0.999930148,0.019213704,0.011819606
6,18,3,0.999121878,0.999960427,0.041907555,0.008896358
6,18,4,0.999848745,0.999974409,0.017392832,0.007154137
6,18,5,0.999797255,0.999926559,0.020136769,0.012119479
6,18,6,0.999821268,0.999955783,0.018906696,0.009403944
6,18,7,0.999728202,0.999942893,0.023315147,0.01068705
6,18,8,0.999692476,0.999944744,0.024800149,0.010512428
6,18,9,0.999731408,0.999949059,0.02317725,0.010093648
6,18,10,0.999731839,0.999948141,0.023158628,0.010184192
6,18,11,0.999674309,0.999954629,0.025522204,0.009525883
